Sujeto,Relación,Objeto,origen
Ramiro Yáñez de Saravia,relación familiar con,Doctor Bravo de Saravia,chile1_6433
Ramiro Yáñez de Saravia,relación familiar,hijo de Bravo de Saravia,chile1_6407
Ramiro Yáñez de Saravia,relación familiar,hijo de gobernador Yáñez de Saravia,chile1_8657
Ramiro Yáñez de Saravia,ocupación,servicio en el ejército,chile1_6408
Ramiro Yáñez de Saravia,acompañante de,Alonso de Sotomayor desde España,chile1_8656
Ramo de balanza,monto destinado anualmente para obra del canal,Dos mil pesos,chile4_17321
Ramo de balanza,monto de sobrante anual,Ocho mil setecientos pesos,chile4_17320
Ramo de balanza,gasto obligado,12173 pesos,chile4_17323
Ramo de balanza,sobrante anual,8676 pesos 7 reales,chile4_17324
Ramo de balanza,entrada anual según último quinquenio,20849 pesos 7 reales,chile4_17322
Ramo de rentas de bulas desde 1817 hasta 1824,monto producido en ocho años,41487 pesos,chile4_3576
Ramon Boza,rango militar de,coronel graduado,chile4_6174
Ramon Cavareda,rango militar de,coronel graduado,chile4_6169
Ramon Criticlido Alvarado,cargo naval,teniente de fragata,chile4_2839
Ramon Errázuriz,relación personal previa con,Diego Portales,chile4_6140
Ramon Freire,cargo militar,comandante de división,chile4_4796
Ramon Martinez de Rozas,cargo de,asesor de la presidencia,chile4_18103
Ramon Sotomayor,ocupación,historiador,chile1_2533
Ramírez,tipo de autor,cronista,chile4_19249
Ramírez,tipo de autor,cronista i jeógrafo,chile4_20077
Ramón Briceño,autor de elogio de,España,chile4_7236
Ramón Briceño,institución donde leyó elogio,facultad de humanidades,chile4_7237
Ramón Briceño,autor de,Estadística bibliográfica,chile4_7238
Ramón Cavareda,cargo de,Gobernador de Valparaíso,chile4_6221
Ramón Cavareda,fecha de nombramiento como ministro de la guerra,4 de diciembre de 1832,chile4_6223
Ramón Cavareda,cargo de,Coronel graduado,chile4_6220
Ramón Cavareda,cargo de,Ministro de la guerra,chile4_6222
Ramón Errázuriz,fecha de renuncia como ministro,Primeros días de abril de 1832,chile4_5423
Ramón Errázuriz,cargo de trabajo,Ministro de relaciones exteriores de Chile,chile4_5390
Ramón Errázuriz,hermano de,Fernando Errázuriz,chile4_3064
Ramón Errázuriz,relación familiar,Hermano de Fernando Errázuriz,chile4_4905
Ramón Errázuriz,fecha de aceptación de renuncia,Dos días después del 12 de abril de 1832,chile4_5425
Ramón Errázuriz,socio comercial de,Diego Portales,chile4_4907
Ramón Errázuriz,asociado comercial de,Compañía Portales y Cea,chile4_3065
Ramón Errázuriz,relación de amistad,Diego Portales,chile4_4906
Ramón Errázuriz,cargo de trabajo,Ministro del interior y relaciones exteriores,chile4_4904
Ramón Errázuriz,cargo de trabajo,Ministro del interior de Chile,chile4_5389
Ramón Errázuriz,cargo de trabajo,ministro,chile4_5560
Ramón Freire,solicitante de autorización al Senado para,Expedición sobre Chiloé,chile4_2544
Ramón Freire,lugar de reunión con tropas,Maestranza,chile4_4741
Ramón Freire,disolvió,Asamblea de Representantes de Santiago el 8 de octubre,chile4_4731
Ramón Freire,fecha de primeros decretos como Director Supremo,8 de abril de 1823,chile4_3910
Ramón Freire,fecha de renuncia al cargo de Director Supremo,17 de julio de 1824,chile4_3404
Ramón Freire,fecha de aceptación del mando con facultades amplias,19 de julio de 1824,chile4_3405
Ramón Freire,representante de,asamblea de Concepción,chile4_2061
Ramón Freire,relación con casa de gobierno en marzo 1825,ausente de la casa de gobierno,chile4_3343
Ramón Freire,rango militar,general,chile4_4803
Ramón Freire,fecha de preparación de marcha,fines de diciembre de 1822,chile4_1203
Ramón Freire,fecha de prestación de juramento como Director Supremo,4 de abril de 1823,chile4_3909
Ramón Freire,lugar de preparación de marcha,Concepción,chile4_1202
Ramón Freire,rango militar,general,chile4_1201
Ramón Freire,cargo de,Director Supremo de Chile,chile4_1280
Ramón Freire,cargo de,director supremo,chile4_4676
Ramón Freire,cargo de,Director Supremo de Chile,chile4_3666
Ramón Freire,relación con cartas de,José Zenteno,chile4_107
Ramón Freire,fecha de convocatoria a congreso,28 de agosto de 1824,chile4_3667
Ramón Freire,cargo de trabajo,Director Supremo de Chile,chile4_2937
Ramón Freire,firmante de,constitución de 1823,chile4_2938
Ramón Freire,cargo político de,supremo director de Chile,chile4_7480
Ramón Freire,disolvió,Congreso Nacional en mayo de 1825,chile4_4730
Ramón Freire,cargo de,Director Supremo de Chile en 1825,chile4_4517
Ramón Freire,cargo durante apertura del congreso,Director Supremo,chile4_3677
Ramón Freire,cargo de trabajo,Jefe del Ejército,chile4_3395
Ramón Freire,decreto de fecha,26 de mayo de 1825,chile4_4527
Ramón Freire,cargo militar,General,chile4_14
Ramón Freire,firmante de,decreto de 12 de noviembre sobre ausencia en campaña de Chiloé,chile4_158
Ramón Freire,cargo de,Director Supremo de Chile,chile4_4698
Ramón Freire,cargo de,Supremo Director,chile4_3009
Ramón Freire,cargo de,jefe del ejército expedicionario a Chiloé,chile4_159
Ramón Freire,fecha de decreto de destierro,8 de octubre de 1825,chile4_4727
Ramón Freire,delegante de facultades directoriales a,consejo directorial,chile4_162
Ramón Freire,emisor de comunicación con fecha,24 de enero de 1824,chile4_2538
Ramón Freire,disolvió,Senado Legislador en julio de 1825,chile4_4729
Ramón Freire,fecha de llegada a Concepción,Enero de 1824,chile4_2537
Ramón Freire,cargo de trabajo,Director Supremo de Chile,chile4_3394
Ramón Freire,cargo,director supremo,chile4_3518
Ramón Freire,fecha de partida a Concepción,30 de diciembre de 1823,chile4_2524
Ramón Freire,cargo de,Comandante jeneral de las armas de Santiago,chile4_2642
Ramón Freire,fecha de visita a buques,15 de octubre de 1823,chile4_2401
Ramón Freire,fecha de reasunción del mando,14 de junio de 1824,chile4_3384
Ramón Freire,cargo de,Supremo Director de Chile,chile4_3368
Ramón Freire,amigo desde infancia de,Diego José Benavente,chile4_1265
Ramón Freire,cargo de,Director Supremo de Chile,chile4_3864
Ramón Freire,cargo de,Teniente general de los ejércitos de Chile,chile4_1264
Ramón Freire,cargo de,Director supremo interino de Chile,chile4_1263
Ramón Freire,rango militar de,Mariscal de Campo de los Ejércitos de Chile,chile4_3871
Ramón Freire,responsable de traslado a Santiago de,manuscrito de Moraleda,chile4_16894
Ramón Freire,número de escuadrones bajo mando,Dos escuadrones de caballería,chile4_4743
Ramón Freire,fecha de partida de Santiago,31 de diciembre de 1823,chile4_1800
Ramón Freire,cargo de,Director Supremo Provisorio del Estado de Chile,chile4_3870
Ramón Freire,cargo de,general,chile4_16893
Ramón Freire,cargo de trabajo,general del ejército del sur,chile4_2060
Ramón Freire,cargo militar de,Mariscal de campo,chile4_2641
Ramón Freire,fecha de salida a Valparaíso,2 de octubre de 1823,chile4_2389
Ramón Freire,representante de,Asamblea de Concepción,chile4_2644
Ramón Freire,cargo de,Jeneral en jefe de todo el ejército del estado,chile4_2643
Ramón Freire,cargo político previo,supremo director de Chile,chile4_6142
Ramón Freire,cargo político,supremo director de los negocios públicos del estado chileno,chile4_3321
Ramón Freire,miembro de,Logia lautarina,chile4_3872
Ramón Freire,cargo de,supremo director,chile4_133
Ramón Freire,cargo de trabajo,gobernador del puerto de Valparaíso,chile4_2059
Ramón Freire,número de batallones bajo mando,Dos batallones de infantería,chile4_4742
Ramón Freire,característica personal,corazón naturalmente bondadoso,chile4_3519
Ramón Freire,rango militar,general,chile4_7256
Ramón Freire,comandante de,tropas de Concepción,chile4_2640
Ramón Freire,fecha de presentación de renuncia,14 de julio de 1824,chile4_3385
Ramón Freire,cargo de,Director Supremo,chile4_1001
Ramón Freire,cargo de,Supremo director de Chile,chile4_6485
Ramón Freire,fecha de elección como Director Supremo,20 de agosto de 1823,chile4_1281
Ramón Freire,rango militar,general,chile4_6101
Ramón Freire,cargo de trabajo,director supremo de Chile,chile4_1796
Ramón Freire,hora de visita a buques,cuatro de la tarde,chile4_2402
Ramón Freire,fecha de reasunción del mando,2 de septiembre de 1823,chile4_1283
Ramón Goyenechea,cargo de,comandante de armas de Copiapó,chile4_5007
Ramón Guerrero Vargas,autor de,"estudio sobre derrotero de Ladrillero en Anuario de la oficina hidrográfica de Chile, Santiago, 1880",chile1_4772
Ramón Guerrero Vargas,autor de,Los descubridores del estrecho de Magallanes y sus primeros exploradores,chile1_4771
Ramón Herrera,propietario de bienes urbanos en,Valparaíso,chile4_3144
Ramón Herrera,negociador del,tratado de Paucarpata,chile4_3142
Ramón Herrera,cargo de,ministro de Riva Agüero,chile4_3141
Ramón Herrera,lugar de nacimiento,Chile,chile4_3138
Ramón Herrera,cargo de,general,chile4_3140
Ramón Herrera,cargo de,coronel,chile4_3139
Ramón Isla,autor de,Los últimos días de Pico,chile4_2920
Ramón Martínez de Rozas,cargo de,asesor de gobierno,chile4_17145
Ramón Martínez de Rozas,cargo de trabajo,asesor general de Ambrosio O'Higgins,chile4_15911
Ramón Martínez de Rozas,destino laboral,Perú,chile4_17146
Ramón Moreno y Cruz,cargo de,diputado al congreso por distrito de Cauquenes,chile4_6601
Ramón Moreno y Cruz,interesado en defensa de,Margarita Fernández,chile4_6602
Ramón Novoa,cargo de,comandante de cuerpo en el ejército de Riva Agüero,chile4_3135
Ramón Novoa,lugar de origen,Concepción,chile4_3131
Ramón Novoa,cargo de,coronel,chile4_3134
Ramón Pardo,cargo de,comandante de Milicianos de Chillán,chile4_5068
Ramón Picarte,cargo militar de,sargento mayor de artillería,chile4_1613
Ramón Picarte,cargo de,gobernador de Valdivia,chile4_371
Ramón Picarte,cargo militar de,Coronel,chile4_6467
Ramón Picarte,autor de carta confidencial a Quintanilla,29 de septiembre,chile4_375
Ramón Picarte,relación personal con,Antonio Quintanilla,chile4_372
Ramón Picarte,cargo militar,Coronel,chile4_6629
Ramón Picarte,lugar de amistad juvenil con Quintanilla,Concepción,chile4_373
Ramón Picarte,autor de comunicación oficial a Quintanilla,29 de septiembre,chile4_374
Ramón Renjifo,impugnador de,moción de Carlos Rodríguez,chile4_4893
Ramón Renjifo,relación familiar con,Manuel Renjifo,chile4_5804
Ramón Rivera,cargo militar,ex-capitán,chile4_4970
Ramón Rodil,cargo de,coronel español,chile4_2208
Ramón Rodil,cargo de mando en,Lima,chile4_2209
Ramón Sepúlveda,condición de,vecino de Valparaíso,chile4_4641
Ramón Silva Cohorquez,profesor de gramática en,Academia de San Luis,chile4_17236
Ramón Sotomayor Valdés,autor de,Estudio histórico bajo la administración de Santa Cruz,chile4_670
Ramón Sotomayor Valdés,nacionalidad,chileno,chile4_3170
Ramón Sotomayor Valdés,autor de,Campaña del ejército contra la confederación peruano-boliviana,chile4_3169
Ramón de Morales,cargo de,Capellán mayor de ejército,chile4_11329
Ramón de Morales,cargo de,Padre mercedario,chile4_11328
Rancagua,escenario de,competencias sobre autoridad de junta gubernativa,chile4_4545
Rancagua,lugar de acantonamiento de,tropas bajo mando de Joaquín Prieto,chile4_28
Rancagua,tipo de entidad,Distrito,chile4_13181
Rapimán,rol de,cacique,chile4_12324
Rapimán,tipo de muerte,horca,chile4_12326
Ratificación del tratado de capitulación,fecha de ocurrencia,19 de enero de 1826,chile4_608
Raveneau de Lussan,fecha de encuentro en Guayaquil,mayo de 1687,chile4_12751
Raveneau de Lussan,lugar de encuentro con compañeros de Davis,Guayaquil,chile4_12750
Raveneau de Lussan,participante en,empresas de filibusteros en el Pacífico durante tres años,chile4_12691
Raveneau de Lussan,nacionalidad,francés filibustero,chile4_12749
Raza de carneros de pellones o carneros linudos,categoría de producto,singular de Chile,chile4_18450
Real Academia Española,institución publicadora de edición de Araucana en,Madrid 1866,chile1_4505
Real Academia de la Historia,año de fundación,1738,chile4_7371
Real Academia de la Historia,lugar de ubicación,Madrid,chile4_7372
Real Audiencia,institución ubicada en,Santiago,chile4_12070
Real Audiencia,ubicación de,Concepción,chile1_6231
Real Audiencia,lugar de fundación,Santiago,chile1_11170
Real Audiencia,opositor a composición ejecutada por,don Pedro Osores de Ulloa,chile4_9051
Real Audiencia,lugar de funcionamiento,Chile colonial,chile4_10149
Real Audiencia,lugar de residencia,Concepción,chile1_6409
Real Audiencia,función de,consulta sobre traslación de La Serena,chile4_12742
Real Audiencia,propósito en Chile,pacificar el país,chile1_6080
Real Audiencia,traslación proyectada a,Ciudad de Concepción,chile4_8559
Real Audiencia,gobierno de,Chile,chile1_6091
Real Audiencia,número de integrantes,dos individuos,chile1_6107
Real Audiencia,función de,autoridad judicial y administrativa en Chile,chile4_11068
Real Audiencia,tipo de institución,tribunal superior,chile4_18035
Real Audiencia,fin de gobierno,1674,chile4_11966
Real Audiencia,institución judicial en,Chile colonial,chile4_11276
Real Audiencia,fecha de cese de funciones,junio de 1575,chile1_6410
Real Audiencia,ubicación,Santiago,chile4_10741
Real Audiencia,destino de llegada,Chile,chile1_6079
Real Audiencia,fecha de requerimiento a Acuña,17 de junio,chile4_10948
Real Audiencia,ubicación en,Santiago,chile4_18034
Real Audiencia,lugar de fundación,Santiago,chile1_10831
Real Audiencia,instrumento administrativo,libro de registro de recibimientos,chile4_12531
Real Audiencia,sede,Santiago,chile4_11399
Real Audiencia,institución que atendió,contienda en convento de San Agustín,chile4_9270
Real Audiencia anterior,ubicación,Concepción,chile1_10925
Real Audiencia de Chile,jurisdicción sobre,Chile,chile1_6466
Real Audiencia de Chile,año de instalación,1609,chile4_9135
Real Audiencia de Chile,autor de,proyecto de tasa de tributos para indios del obispado de la Imperial,chile1_6494
Real Audiencia de Chile,negó reconocimiento como presidente a,Diego González Montero,chile4_13134
Real Audiencia de Chile,acción sobre sentencia de Pedro de Lara,revocó sentencia,chile4_13118
Real Audiencia de Chile,fecha de carta al Rey,29 de julio de 1649,chile4_10679
Real Audiencia de Chile,relación con Marín de Poveda,generadora de competencias jurisdiccionales,chile4_13117
Real Audiencia de Chile,acción contra franciscanos en,1702,chile4_14745
Real Audiencia de Chile,fecha de decreto sobre Academia,14 de diciembre de 1801,chile4_17461
Real Audiencia de Chile,costo anual,39420 pesos,chile4_18137
Real Audiencia de Chile,fecha de acuerdo sobre servicio personal de indígenas,28 de septiembre de 1609,chile4_9109
Real Audiencia de Chile,fecha de supresión,1575,chile1_6422
Real Audiencia de Chile,participante,Doctor Gabriel de Celada,chile1_11049
Real Audiencia de Chile,lugar de funcionamiento,Santiago,chile1_11044
Real Audiencia de Chile,oposición a,medidas coercitivas para reclutamiento militar,chile4_7705
Real Audiencia de Chile,participante,Doctor Merlo de la Fuente,chile1_11048
Real Audiencia de Chile,emisor del informe fechado,18 de septiembre de 1690,chile4_13901
Real Audiencia de Chile,institución que prohibió,publicación de la Bula In coena Domini en Chile,chile4_9185
Real Audiencia de Chile,lugar propuesto de traslado por Ulloa,Concepción,chile4_8329
Real Audiencia de Chile,relación institucional,Tribunal presidido por el Gobernador,chile4_11231
Real Audiencia de Chile,período de administración,1567-1568,chile1_7057
Real Audiencia de Chile,emisora de informe de,8 de julio de 1648,chile4_10632
Real Audiencia de Chile,emisor de relación sobre ruina de Santiago,Gobernador Martín de Mujica,chile4_10569
Real Audiencia de Chile,participante en,acuerdo general de hacienda,chile4_10603
Real Audiencia de Chile,fecha de instalación,8 de septiembre de 1609,chile1_11043
Real Audiencia de Chile,participante en junta sobre traslación de ciudad,Obispo de Santiago,chile4_10582
Real Audiencia de Chile,participante,García Ramón,chile1_11047
Real Audiencia de Chile,instituyente,Rey de España,chile1_7055
Real Audiencia de Chile,tipo de gobierno,Gobierno político y militar,chile1_7056
Real Audiencia de Chile,resolución sobre traslación de ciudad de Santiago,no convenir mudanza,chile4_10583
Real Audiencia de Concepción,cantidad de miembros u oidores,cuatro,chile1_6047
Real Audiencia de Concepción,fecha de instalación,5 de agosto de 1567,chile1_6060
Real Audiencia de Concepción,fecha de creación por cédula,27 de agosto de 1565,chile1_6046
Real Audiencia de Guadalajara,ubicación en,Nueva España,chile4_8308
Real Audiencia de Lima,período de gobierno del virreinato,cerca de dos años tras septiembre de 1705,chile4_15077
Real Audiencia de Lima,fecha de informe,21 de agosto de 1561,chile1_5097
Real Audiencia de Lima,destinatario de carta del,Cabildo de Santiago,chile1_4519
Real Audiencia de Lima,fecha de declaración sobre recurso de fuerza,1607,chile1_10274
Real Audiencia de Lima,fecha de junta,7 de noviembre de 1666,chile4_11424
Real Audiencia de Lima,cargo de gobierno del virreinato,interino tras muerte del Conde de Santisteban,chile4_11409
Real Audiencia de Lima,acción realizada a petición de Don García,levantamiento de información o probanza,chile1_5126
Real Audiencia de Lima,tipo de entidad,institución judicial,chile1_8557
Real Audiencia de Lima,cargo asumido tras muerte del Conde de Santisteban,Gobierno provisorio del virreinato del Perú,chile4_11365
Real Audiencia de Lima,tribunal del recurso de fuerza de,Alonso de Ribera,chile1_10243
Real Audiencia de Lima,fecha de acuerdo sobre asunto de Chile,28 de enero de 1594,chile1_8317
Real Audiencia de Lima,ubicación institucional en,Lima,chile1_8269
Real Audiencia de Lima,fecha de inicio de gobierno en Perú,julio de 1552,chile1_5472
Real Audiencia de Lima,función de,informar sobre proyecto de guerra,chile4_9809
Real Audiencia de Lima,institución superior de,oficiales reales de Chile,chile1_5079
Real Audiencia de Lima,lugar de,Lima,chile4_10987
Real Audiencia de Santa Fe de Bogotá,acción de deposición de,Gobernador Meneses y Saravia,chile4_11525
Real Audiencia de Santa Fe de Bogotá,fecha de deposición,25 de septiembre de 1715,chile4_11526
Real Audiencia de Santiago,tipo de institución,audiencia real,chile4_13723
Real Audiencia de Santiago,fecha de acuerdo sobre autoridad del Gobernador,7 de agosto de 1630,chile4_9631
Real Audiencia de Santiago,miembro,Lucas de Bilbao la Vieja,chile4_14579
Real Audiencia de Santiago,miembro,Álvaro Bernardo de Quiroz,chile4_14581
Real Audiencia de Santiago,miembro,Diego de Zúñiga y Tobar,chile4_14580
Real Audiencia de Santiago,miembro futurario,Juan Corral Calvo de la Torre,chile4_14585
Real Audiencia de Santiago,sede de,Santiago,chile4_10952
Real Audiencia de Santiago,fecha de informe,1 de mayo de 1658,chile4_12670
Real Audiencia de Santiago,miembro,Gonzalo Ramírez de Baquedano,chile4_14583
Real Audiencia de Santiago,fecha de reunión,13 de marzo de 1630,chile4_9611
Real Audiencia de Santiago,ubicación,Santiago,chile4_10412
Real Audiencia de Santiago,miembro,José Blanco Rejón,chile4_14582
Real Audiencia de Santiago,fecha de prohibición a indios de andar a caballo,30 de abril de 1630,chile4_9613
Real Audiencia de Santiago,resolución sobre deposición del Gobernador,Censura y orden de reposición de Antonio de Acuña,chile4_10893
Real Audiencia de Santiago,función de,informar al Rey sobre negocios militares,chile4_12669
Real Audiencia de Santiago,función respecto a cédula real,Receptor y ejecutor de disposiciones reales,chile4_15022
Real Audiencia de Santiago,miembro futurario,José de Valverde,chile4_14584
Real Audiencia de Santiago,fecha de protesta al Gobernador,20 de noviembre de 1630,chile4_9634
Real Audiencia de Santiago,receptor de comunicación sobre,Sublevación de indios y elevación al mando de De la Fuente Villalobos,chile4_10874
Real Audiencia de Santiago,inclusión en distrito,provincia de Cuyo,chile1_10931
Real Audiencia de Santiago,autor de bando del,29 de abril de 1710,chile4_15137
Real Audiencia de Santiago,fecha de recepción de cédula real,mediados de marzo de 1634,chile4_9808
Real Audiencia de Santiago,resolución de mayo de 1700,no suspensión de bula pontificia,chile4_13869
Real Audiencia de Santiago,fecha de acuerdo sobre Tasa de Santillán,28 de septiembre de 1609,chile1_4856
Real Audiencia de Santiago,inclusión en distrito,Estrecho de Magallanes,chile1_10930
Real Audiencia de Santiago,composición incluye,oidores,chile4_13446
Real Audiencia de Santiago,relación con Francisco Lazo de la Vega,adicta,chile4_9807
Real Audiencia de Santiago,fecha de órdenes,principios de abril,chile4_10915
Real Audiencia de Santiago,fecha de llegada de oidores,24 de abril de 1609,chile1_10981
Real Audiencia de Santiago,distrito jurisdiccional,todas las ciudades villas lugares y tierras del gobierno de Chile,chile1_10929
Real Audiencia de Santiago,petición a Meneses,retardo de viaje al sur,chile4_14816
Real Audiencia de Santiago,traslado de promotores revolucionarios a,Santiago,chile4_10980
Real Audiencia de Santiago,emisor de órdenes a,Concepción,chile4_10914
Real Audiencia de Santiago,resolución sobre pobladores de Chillán,prohibición de pasar del Maule bajo pena de la vida,chile4_10923
Real Audiencia de Santiago,fecha de instalación,después de mediados de agosto de 1609,chile1_10982
Real Audiencia del Perú,período de gobierno provisorio,entre marzo de 1606 y llegada del marqués de Montes Claros,chile1_10870
Real Audiencia nueva,ubicación,Santiago,chile1_10926
Real Audiencia para Chile,función asignada,gobierno político y militar,chile1_5886
Real Orden contra Robertson,firmante,Jorge de Gálvez,chile4_19416
Real Orden contra Robertson,lugar de emisión,Madrid,chile4_19415
Real Orden contra Robertson,fecha,23 de diciembre de 1778,chile4_19414
Real Universidad de San Felipe,fecha de sesión de claustro pleno,24 de agosto de 1802,chile4_17419
Real audiencia,función,revisión de medidas de la junta de real hacienda,chile4_18120
Real audiencia,fecha de resolución sobre profesores,14 de diciembre,chile4_19346
Real audiencia de Santiago,destinatario de comunicación,presidente Ustáriz,chile4_15182
Real audiencia de Santiago,fecha de acuerdo,16 de noviembre de 1716,chile4_15181
Real caja,fuente de financiamiento de,gastos del padre Valdivia,chile4_7879
Real colegio colonial de Santiago,tipo de dirección,eclesiásticos seculares,chile4_19310
Real colegio colonial de Santiago,característica posterior,tuvo algunos profesores laicos,chile4_19311
Real colegio colonial de Santiago,razón del nombre vulgar,color de la beca o banda que los colegiales llevaban sobre el pecho,chile4_19308
Real colegio colonial de Santiago,nombre vulgar,colegio Colorado,chile4_19307
Real cédula,fecha de emisión,26 de abril de 1703,chile4_14914
Real cédula al cabildo de Santiago,fecha de,20 de agosto de 1648,chile4_10614
Real cédula de 1 de julio de 1649,contenido de,merced de seis años libres de alcabala y unión de armas para Santiago,chile4_10616
Real cédula de 1 de marzo de 1771,emisor,Carlos III,chile4_18127
Real cédula de 11 de enero de 1701,contenido sobre,autorización de entrada de naves francesas,chile4_14736
Real cédula de 12 de diciembre de 1608,destinatario,Luis Merlo de la Fuente,chile4_7679
Real cédula de 13 de julio de 1563,número de artículos,ciento cuarenta y nueve,chile1_6015
Real cédula de 13 de octubre de 1660,destinatario,Real Audiencia de Chile,chile4_13127
Real cédula de 13 de octubre de 1679,contenido,recomendación de ejecutar recolección de donativo,chile4_13433
Real cédula de 14 de abril de 1633,autor de inserción en obra,Historia del padre Rosales tomo II p. 14,chile4_9861
Real cédula de 16 de agosto de 1572,lugar de emisión,San Lorenzo,chile1_8209
Real cédula de 16 de enero de 1687,promulgador,Carlos II,chile4_12813
Real cédula de 1601,contenido normativo,"prohibición a clérigos de ser alcalde, abogado o escribano",chile4_13788
Real cédula de 18 de enero de 1585,clasificación en código como,ley 6 del título y libros citados,chile4_13955
Real cédula de 18 de mayo de 1680,materia,poner en vigor la Recopilación de las leyes de Indias,chile4_13756
Real cédula de 19 de marzo de 1647,fecha de emisión,19 de marzo de 1647,chile4_13974
Real cédula de 19 de marzo de 1647,identificación posterior como,ley 15 del mismo título y libro de ese código,chile4_13973
Real cédula de 2 de diciembre de 1697,propósito,donativo para remediar escaseces del tesoro real,chile4_13435
Real cédula de 20 de febrero de 1805,acción de,prohibición de ciertas fiestas,chile4_19077
Real cédula de 22 de marzo de 1697,materia,reconocimiento de igualdad de derechos a americanos hijos de españoles e indios,chile4_13776
Real cédula de 22 de marzo de 1697,autor,Carlos II,chile4_13775
Real cédula de 22 de septiembre de 1687,emisor,Carlos II,chile4_12848
Real cédula de 22 de septiembre de 1687,destinatario,Gobernador de Chile,chile4_12849
Real cédula de 24 de julio de 1715,autor,Felipe V,chile4_13840
Real cédula de 24 de julio de 1715,contenido,orden de desocupar casa y entregar posesión a Celis,chile4_13841
Real cédula de 24 de junio de 1689,promulgador,Carlos II,chile4_12814
Real cédula de 25 de noviembre de 1692,promulgador,Carlos II,chile4_12815
Real cédula de 26 de enero de 1568,solicitante de informe,Real Audiencia de Chile,chile1_6465
Real cédula de 26 de marzo (consolidación),propósito,aumento de fondo de caja de consolidación,chile4_18128
Real cédula de 26 de septiembre de 1686,disposición sobre,condena a galeras a soldados piratas,chile4_12007
Real cédula de 27 de mayo de 1631,equivalente legal,"ley 12, título 8, libro IV de la Recopilacion de las leyes de Indias",chile4_13419
Real cédula de 28 de febrero de 1679,propósito,donativo para gastos del primer matrimonio del Rey,chile4_13432
Real cédula de 28 de octubre de 1573,emisor,Felipe II,chile1_7155
Real cédula de 28 de octubre de 1573,destinatario,Rodrigo de Quiroga,chile1_7156
Real cédula de 28 de octubre de 1675,contenido,orden de cumplir donativo gracioso pedido a habitantes de Indias,chile4_13431
Real cédula de 28 de septiembre de 1588,contenido sobre,habilitación de mestizos para órdenes sacerdotales,chile4_9231
Real cédula de 29 de abril de 1643,fecha de firma,29 de abril de 1643,chile4_10118
Real cédula de 29 de abril de 1643,firmante,Rey Felipe IV,chile4_10117
Real cédula de 29 de septiembre de 1543,contenido de,prohibición de libros de materias profanas y fabulosas en Indias,chile4_13949
Real cédula de 3 de diciembre de 1803,destinatario,doctor don Juan Martínez de Rozas,chile4_19154
Real cédula de 30 de diciembre de 1633,destinatario,Gobernador de Chile,chile4_9879
Real cédula de 30 de diciembre de 1633,contenido solicitado,descripción completa de Chile con mapas de cada provincia,chile4_9880
Real cédula de 30 de diciembre de 1633,autoridad emisora,Felipe IV,chile4_9878
Real cédula de 31 de agosto de 1721,disposición sobre,abolición de encomiendas en Chile,chile4_17467
Real cédula de 4 de mayo de 1650,emisor,Felipe IV,chile4_10625
Real cédula de 4 de mayo de 1650,destinatario,virrey del Perú,chile4_10626
Real cédula de 5 de agosto de 1577,solicitante de,descripción de Chile,chile1_6481
Real cédula de 5 de septiembre de 1550,clasificación en código como,ley 5 del título 24 del libro I de Recopilación de leyes de Indias,chile4_13952
Real cédula de 6 de julio de 1776,tema regulado,bienes de extranjeros muertos en América,chile4_18969
Real cédula de 6 de marzo de 1685,disposición sobre,aplicación de pena de muerte a cabos y capitanes de piratas,chile4_12006
Real cédula de 6 de marzo de 1776,reforma administrativa,aumento del número de funcionarios de audiencias de Indias,chile4_18066
Real cédula de 6 de marzo de 1776,creación de cargo,rejente en cada audiencia,chile4_18067
Real cédula de 8 de agosto de 1686,publicador en obra histórica,don Miguel Luis Amunátegui,chile4_13984
Real cédula de 8 de agosto de 1686,ubicación en obra,cap. 6 del tomo de Los precursores de Independencia,chile4_13985
Real cédula de 8 de septiembre de 1689,propósito,donativo para gastos del segundo matrimonio del Rey,chile4_13434
Real cédula de 9 de octubre de 1556,promulgador de,Felipe,chile4_13950
Real cédula de 9 de octubre de 1556,contenido de,orden de reconocimiento de libros prohibidos en navíos,chile4_13951
Real cédula de Felipe III,beneficiario,Pedro Cortés,chile4_8021
Real cédula de Felipe III,año de emisión,1607,chile4_8521
Real cédula de Felipe III de 1607,beneficiario,Alonso García Ramón,chile4_8522
Real cédula de Felipe V,fecha de expedición,31 de julio de 1713,chile4_15093
Real cédula de Felipe V de 24 de febrero de 1702,destinatario,gobernador de Chile,chile4_13773
Real cédula de Felipe V firmada en Barcelona,fecha,24 de febrero de 1702,chile4_13772
Real cédula de Madrid del 11 de enero de 1701,lugar de emisión,Madrid,chile4_14958
Real cédula de Madrid del 11 de enero de 1701,fecha de emisión,11 de enero de 1701,chile4_14957
Real cédula de Madrid del 11 de enero de 1701,emisor,junta gobernadora bajo presidencia de la reina viuda,chile4_14956
Real cédula de agosto de 1807,libro ordenado para lectura en escuelas,El niño instruido por la divina palabra,chile4_19266
Real cédula de agosto de 1807,emisor,Carlos IV,chile4_19264
Real cédula de agosto de 1807,destinatarios,virreyes y gobernadores,chile4_19265
Real cédula de marzo de 1789,tema,establecimiento de cementerios en América,chile4_15879
Real cédula de revocación sobre traslación de indios,fecha de emisión,19 de mayo de 1683,chile4_12389
